slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
4everland-storage-free,,!offer:4everland-storage-free,,,,,,,,
akave-cloud-business,,!offer:akave-cloud-business,,,,,,,,
akave-cloud-plus,,!offer:akave-cloud-plus,,,,,,,,
akave-cloud-standard,,!offer:akave-cloud-standard,,,,,,,,
aleph-cloud-enterprise,,!offer:aleph-cloud-enterprise,,,,,,,,
arweave,,!offer:arweave,,,,,,,,
bluzelle,,!offer:bluzelle,,,,,,,,
btfs,,!offer:btfs,,,,,,,,
cidgravity-advanced,,!offer:cidgravity-advanced,,,,,,,,
cidgravity-pro,,!offer:cidgravity-pro,,,,,,,,
cidgravity-starter,,!offer:cidgravity-starter,,,,,,,,
crust-network,,!offer:crust-network,,,,,,,,
fil-one-object-storage,,!offer:fil-one-object-storage,,,,,,,,
filebase-enterprise,,!offer:filebase-enterprise,,,,,,,,
greenfield,,!offer:greenfield,,,,,,,,
ipfs,IPFS,,"[""[Docs](https://docs.ipfs.io/)""]",Tool,"[""Go"",""JavaScript"",""Storage""]",$0,Free,,"Open decentralized protocol to store, verify, and share data across distributed networks commonly used in blockchain",FALSE
irys,,!offer:irys,,,,,,,,
lighthouse-enterprise,,!offer:lighthouse-enterprise,,,,,,,,
orbit-db,Orbit DB,,"[""[Website](https://orbitdb.org/)""]",Database,"[""Decentralized database""]",$0,Free,,"It provides a serverless, distributed, peer-to-peer database for building decentralized applications",FALSE
pinata-enterprise,,!offer:pinata-enterprise,,,,,,,,
storj-advanced,,!offer:storj-advanced,,,,,,,,
storj-standard,,!offer:storj-standard,,,,,,,,
swarm,,!offer:swarm,,,,,,,,
tableland-db,Tableland,,"[""[Website](https://tableland.xyz/)""]",Database,"[""Decentralized database"",""SQL database"",""SQLite""]",Custom,TBD,,"It allows developers to store, manage, and query structured data for decentralized applications using familiar SQL statements, with access control and ownership tied to the blockchain",FALSE
thread-db,Powergate,Thread DB,"[""[Docs](https://docs.textile.io/threads/)""]",Database,"[""Decentralized database"",""P2P database""]",Custom,TBD,,"It is a multi-party,decentralized database solution built on IPFS and Libp2p that provides an alternative architecture for data on the web",FALSE
zeeve-enterprise,,!offer:zeeve-enterprise,,,,,,,,
