slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis,,!offer:artemis,"[""[Dashboard](https://classic.artemis.ai/asset/arbitrum?from=assets)""]",one,,,,,,,,,
blockworks,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/arbitrum)""]",one,,,,,,,,,
chainspect-one,,!offer:chainspect,"[""[Dashboard](https://chainspect.app/chain/arbitrum)""]",one,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,one,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,one,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,one,,,,,,,,,
coinglass,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/ARB)""]",one,,,,,,,,,
coinmarketcap-basic,,!offer:coinmarketcap-basic,,one,,,,,,,,,
coinmarketcap-enterprise,,!offer:coinmarketcap-enterprise,,one,,,,,,,,,
coinmarketcap-hobbyist,,!offer:coinmarketcap-hobbyist,,one,,,,,,,,,
coinmarketcap-professional,,!offer:coinmarketcap-professional,,one,,,,,,,,,
coinmarketcap-standard,,!offer:coinmarketcap-standard,,one,,,,,,,,,
coinmarketcap-startup,,!offer:coinmarketcap-startup,,one,,,,,,,,,
cryptoquant-one-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/arb/summary)""]",one,,,,,,,,,
cryptoquant-one-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/arb/summary)""]",one,,,,,,,,,
cryptoquant-one-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/arb/summary)""]",one,,,,,,,,,
cryptoquant-one-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/arb/summary)""]",one,,,,,,,,,
cryptoslam-one,Cryptoslam,,"[""[Dashboard](https://www.cryptoslam.io/blockchains/arbitrum)""]",one,"[""NFT Sales Data"",""Transaction Volume"",""Number of NFT Owners"",""Upcoming Drops""]",TRUE,,"[""NFT Sales Data API""]",$0,,Free,FALSE,
defillama-nova-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/arbitrum-nova)""]",nova,,,,,,,,,
defillama-nova-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/arbitrum-nova)""]",nova,,,,,,,,,
defillama-nova-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/arbitrum-nova)""]",nova,,,,,,,,,
defillama-one-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/arbitrum)""]",one,,,,,,,,,
defillama-one-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/arbitrum)""]",one,,,,,,,,,
defillama-one-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/arbitrum)""]",one,,,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/arbitrum)""]",one,,,,,,,,,
dune-nova-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/arbitrum/arbitrum-nova)""]",nova,,,,,,,,,
dune-nova-enterprise,,!offer:dune-enterprise,"[""[Dashboard](https://dune.com/blockchains/avalanche_c)""]",nova,,,,,,,,,
dune-nova-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/arbitrum/arbitrum-nova)""]",nova,,,,,,,,,
dune-nova-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/arbitrum/arbitrum-nova)""]",nova,,,,,,,,,
dune-one-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/arbitrum)""]",one,,,,,,,,,
dune-one-enterprise,,!offer:dune-enterprise,"[""[Dashboard](https://dune.com/blockchains/avalanche_c)""]",one,,,,,,,,,
dune-one-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/arbitrum)""]",one,,,,,,,,,
dune-one-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/arbitrum)""]",one,,,,,,,,,
footprint-analytics-free,,!offer:footprint-analytics-free,,one,,,,,,,,,
geckoterminal-one,GeckoTerminal,,"[""[Dashboard](https://www.geckoterminal.com/arbitrum/pools)""]",one,"[""DEX Trading Pairs"",""OHLCV Charts"",""Liquidity"",""Recent Trades""]",TRUE,,"[""Public API""]",$0,Free,Free,FALSE,
glassnode,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ARB)""]",one,,,,,,,,,
growthepie-nova,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum-nova)""]",nova,,,,,,,,,
growthepie-one,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum)""]",one,,,,,,,,,
l2beat-nova,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/nova)""]",nova,,,,,,,,,
l2beat-one,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/arbitrum)""]",one,,,,,,,,,
laevitas-enterprise,,!offer:laevitas-enterprise,"[""[Dashboard](https://app.laevitas.ch/assets/overview/ARB)""]",one,,,,,,,,,
